Order ID,Order Date,Shop,Pick Up Emirate,Drop Off Emirate,Drop Off Area,Delivery Company,Status,COD,Delivery Cost,Charge to Customer,Category,Delivery Route,Month - Formula,Month
6713,1/2/2021,Shop001,Abu Dhabi,Dubai ,,DeliveryCompany01,Cancelled/Returned,,,,SM,Abu Dhabi to Dubai ,February,February
3015,1/9/2020,Shop002,Dubai,Fujeirah,Hamad bin abdulla road,DeliveryCompany01,Cancelled/Returned,,AED 0.00,AED 0.00,,Dubai to Fujeirah,September,September 
3016,1/9/2020,Shop003,Abu Dhabi,Al Ain,Villa 8,DeliveryCompany01,Delivered,,AED 32.00,AED 45.00,,Abu Dhabi to Al Ain,September,September 
3024,1/9/2020,Shop004,Abu Dhabi,Ras Al Khaimah,Alkharan,DeliveryCompany01,Delivered,,AED 32.00,AED 60.00,,Abu Dhabi to Ras Al Khaimah,September,September 
3022,1/9/2020,Shop005,Sharjah,Abu Dhabi,,DeliveryCompany02,Delivered,,AED 30.00,AED 45.00,,Sharjah to Abu Dhabi,September,September 
3018,1/9/2020,Shop006,Dubai,Dubai,Meadows 2,DeliveryCompany02,Delivered,,AED 30.00,AED 30.00,,Dubai to Dubai,September,September 
3017,1/9/2020,Shop007,Sharjah,Sharjah,,DeliveryCompany02,Delivered,AED 200.00,AED 30.00,AED 50.00,,Sharjah to Sharjah,September,September 
3028,1/9/2020,Shop008,Dubai,Al Ain,,DeliveryCompany01,Delivered,AED 50.00,AED 32.00,AED 50.00,,Dubai to Al Ain,September,September 
3021,1/9/2020,Shop005,Sharjah,Abu Dhabi,,DeliveryCompany02,Delivered,,AED 30.00,AED 45.00,,Sharjah to Abu Dhabi,September,September 
3027,1/9/2020,Shop009,Abu Dhabi,Sharjah,,Unknown,Cancelled/Returned,,AED 0.00,AED 0.00,,Abu Dhabi to Sharjah,September,September 
3026,1/9/2020,Shop010,Abu Dhabi,Dubai,Al Barsha 2,DeliveryCompany01,Delivered,,AED 32.00,AED 50.00,,Abu Dhabi to Dubai,September,September 
3030,1/9/2020,Shop011,Sharjah,Abu Dhabi,NYU AD,DeliveryCompany01,Delivered,,AED 32.00,AED 50.00,,Sharjah to Abu Dhabi,September,September 
3025,1/9/2020,Shop012,Abu Dhabi,Al Ain,,DeliveryCompany01,Delivered,,AED 32.00,AED 50.00,,Abu Dhabi to Al Ain,September,September 
3029,1/9/2020,Shop013,Dubai,Abu Dhabi,,DeliveryCompany03,Delivered,,AED 50.00,AED 50.00,,Dubai to Abu Dhabi,September,September 
3019,1/9/2020,Shop014,Dubai,Al Ain,"ManazeF,house 299,street 2  near grandmart.",DeliveryCompany02,Delivered,AED 309.00,AED 30.00,AED 50.00,,Dubai to Al Ain,September,September 
3020,1/9/2020,Shop014,Dubai,Abu Dhabi,Al Manhal,DeliveryCompany02,Delivered,,AED 30.00,AED 50.00,,Dubai to Abu Dhabi,September,September 
3023,1/9/2020,Shop015,Dubai,Ras Al Khaimah,The Ritz-Carlton ,DeliveryCompany02,Delivered,,AED 30.00,AED 45.00,,Dubai to Ras Al Khaimah,September,September 
3045,2/9/2020,Shop016,Dubai,Dubai,Downtown,DeliveryCompany04,Delivered,,AED 35.00,AED 30.00,,Dubai to Dubai,September,September 
3061,2/9/2020,Shop017,Dubai,Fujeirah,-,DeliveryCompany01,Delivered,,"AED 1,950.00","AED 3,510.00",,Dubai to Fujeirah,September,September 
